50.0637,96,2021-12-30T14:55:15.616+01:00,9814,234.55,11
50.0637,96,2021-12-29T12:45:18.225+01:00,9632,183.56,1
30.0378,1,2021-12-03T11:44:01.754+01:00,5077,117.56,1
40.0287,7,2021-08-16T15:25:54.657+02:00,1838,140.35,1
30.1848,1,2021-12-26T11:14:41.125+01:00,6360,68.61,2
30.0419,61,2021-11-20T11:02:58.736+01:00,51,21.06,1
30.0419,61,2021-11-22T15:58:38.813+01:00,76,16.83,1
30.0427,65,2021-11-24T08:58:49.575+01:00,6388,14.76,1
10.0571,5,2021-11-18T19:05:36.907+01:00,1014,5.97,3
30.1722,1,2021-12-19T11:41:31.379+01:00,903,-7.71,2
40.0169,1,2021-10-21T17:31:11.655+02:00,2017,35.27,3
30.0431,79,2021-11-24T09:42:17.089+01:00,2101,20.73,2
50.0639,96,2021-12-30T11:15:15.976+01:00,5588,17.89,1
30.0378,1,2021-12-11T11:07:44.049+01:00,7262,74.56,1
50.0694,91,2021-02-15T13:41:30.102+01:00,7432,233,26
30.0708,3,2021-12-16T15:16:02.997+01:00,5398,110.83,2
50.0633,95,2021-12-28T09:39:58.114+01:00,7088,37.33,1
50.0625,98,2021-12-28T12:02:14.466+01:00,117,193.2,3
40.0117,63,2021-12-30T19:18:10.899+01:00,3099,17.33,1
50.0633,95,2021-12-28T12:43:04.544+01:00,7144,92.27,4
30.0085,1,2021-12-06T13:50:06.599+01:00,3406,39.77,3
40.0287,50,2021-11-05T10:26:44.097+01:00,2687,-18.49,2
10.1342,1,2021-11-26T16:09:51.674+01:00,7781,7.69,1
40.0157,50,2021-12-27T17:38:10.764+01:00,2906,3.99,2
10.0571,1,2021-12-24T18:01:36.188+01:00,7011,34.65,2
30.1722,79,2021-12-04T19:55:41.915+01:00,3414,3,1
40.0239,61,2021-11-08T18:09:59.333+01:00,9537,6.15,2
50.0613,61,2021-11-13T14:08:35.244+01:00,6010,43.7,1
50.0678,94,2021-12-28T10:59:28.993+01:00,5793,49.62,1
40.0298,61,2021-12-23T11:07:24.845+01:00,7239,26.54,2
30.1848,1,2021-12-29T12:52:55.113+01:00,7206,134.15,13
40.0249,90,2021-12-06T15:22:16.435+01:00,751,30.38,1
50.0637,94,2021-02-13T18:30:11.363+01:00,8079,194.84,9
10.0279,2,2021-10-17T19:47:24.848+02:00,2283,7.34,3
10.0571,5,2021-12-15T18:36:47.343+01:00,7582,-8.6,2
40.0105,5,2021-08-17T11:14:20.242+02:00,2575,70.83,1
30.0572,61,2021-11-23T10:42:06.518+01:00,9352,38.92,1
30.0419,7,2021-12-18T12:02:29.768+01:00,79,97.65,3
50.0613,65,2021-12-16T13:44:11.910+01:00,2097,24.69,1
40.0148,1,2021-05-17T19:10:30.013+02:00,5461,108.45,2
40.0111,63,2021-12-29T18:06:23.211+01:00,3022,57.91,1
30.0085,1,2021-12-06T15:19:00.465+01:00,3464,8.45,1
30.0419,65,2021-11-24T09:02:54.725+01:00,423,17.39,1
30.0427,2,2021-12-30T19:41:16.750+01:00,5645,38.35,2
30.0075,1,2021-08-15T10:04:51.773+02:00,1167,149.65,2
30.1848,1,2021-12-31T16:00:35.459+01:00,8128,27.2,1
50.0660,65,2021-12-28T15:13:23.069+01:00,9355,147.05,1
50.0603,95,2021-12-04T12:13:32.754+01:00,4546,22.55,1
50.0633,91,2021-12-28T11:36:04.068+01:00,4780,60.08,1
30.0431,4,2021-11-20T12:41:35.484+01:00,4326,177.8,1
30.0378,1,2021-11-13T14:35:44.554+01:00,57,117.15,1
50.0624,67,2021-12-27T15:06:12.320+01:00,3887,22.3,1
50.0678,94,2021-12-15T18:08:56.475+01:00,4250,91.33,1
40.0148,1,2021-07-28T11:29:04.075+02:00,3024,30.78,3
30.1722,1,2021-12-30T12:44:37.837+01:00,4189,-8.29,2
50.0640,96,2021-12-28T17:56:51.661+01:00,8018,37.34,1
10.0049,2,2021-10-01T10:47:06.993+02:00,3,67.77,3
50.0458,34,2021-12-29T13:44:50.696+01:00,690,132.69,6
30.0572,61,2021-11-23T08:50:52.223+01:00,9339,68.7,2
50.0669,65,2021-12-17T15:02:37.064+01:00,7379,81.93,1
50.0669,65,2021-02-13T16:41:42.939+01:00,8559,237,40
10.0468,3,2021-12-15T12:28:41.030+01:00,51,-9.01,3
30.1848,1,2021-12-31T08:21:10.575+01:00,7825,50.72,1
30.0708,3,2021-12-16T12:57:00.830+01:00,5388,147.63,2
10.2012,1,2021-12-21T09:12:20.647+01:00,3,0.02,1
